Station Name,Filename,Timestamp,Duration (s)
NPR,NPR_20250310_101420_1.mp3,20250310_101420,30
NPR,NPR_20250310_101451_2.mp3,20250310_101451,30
NPR,NPR_20250310_101521_3.mp3,20250310_101521,30
NPR,NPR_20250310_101550_4.mp3,20250310_101550,30
NPR,NPR_20250310_101620_5.mp3,20250310_101620,30
NPR,NPR_20250310_101649_6.mp3,20250310_101649,30
NPR,NPR_20250310_101719_7.mp3,20250310_101719,30
NPR,NPR_20250310_101748_8.mp3,20250310_101748,30
NPR,NPR_20250310_101819_9.mp3,20250310_101819,30
NPR,NPR_20250310_101848_10.mp3,20250310_101848,30
NPR,NPR_20250310_101919_11.mp3,20250310_101919,30
NPR,NPR_20250310_101948_12.mp3,20250310_101948,30
NPR,NPR_20250310_102017_13.mp3,20250310_102017,30
NPR,NPR_20250310_102047_14.mp3,20250310_102047,30
NPR,NPR_20250310_102117_15.mp3,20250310_102117,30
NPR,NPR_20250310_102148_16.mp3,20250310_102148,30
NPR,NPR_20250310_102217_17.mp3,20250310_102217,30
NPR,NPR_20250310_102247_18.mp3,20250310_102247,30
NPR,NPR_20250310_102316_19.mp3,20250310_102316,30
NPR,NPR_20250310_102345_20.mp3,20250310_102345,30
NPR,NPR_20250310_102414_21.mp3,20250310_102414,30
NPR,NPR_20250310_102443_22.mp3,20250310_102443,30
NPR,NPR_20250310_102513_23.mp3,20250310_102513,30
NPR,NPR_20250310_102542_24.mp3,20250310_102542,30
NPR,NPR_20250310_102611_25.mp3,20250310_102611,30
NPR,NPR_20250310_102641_26.mp3,20250310_102641,30
NPR,NPR_20250310_102710_27.mp3,20250310_102710,30
NPR,NPR_20250310_102740_28.mp3,20250310_102740,30
NPR,NPR_20250310_102809_29.mp3,20250310_102809,30
NPR,NPR_20250310_102839_30.mp3,20250310_102839,30
